"GDP per capita, current prices
 (U.S. dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,233.433,233.755,254.259,294.396,320.674,381.502,447.746,511.374,631.49,714.7,784.611,754.402,746.922,705.597,617.126,635.789,582.323,586.204,611.268,no data,no data,no data,no data,no data,no data
Tunisia,1482.823,1390.414,1309.899,1322.84,1286.6,1271.845,1312.226,1382.408,1411.506,1386.015,1636.643,1687.19,1973.446,1814.879,1903.845,2156.454,2299.375,2210.809,2295.188,2388.986,2213.949,2254.913,2345.99,2762.051,3112.91,3194.48,3371.538,3778.891,4308.911,4131.023,4140.465,4256.837,4137.572,4198.849,4274.467,3829.495,3665.678,3436.203,3442.696,3324.127,3294.88,3555.587,3747.541,3916.276,4094.26,4257.456,4399.399
Turkey,2133.685,2113.068,1876.637,1753.332,1668.464,1835.181,1983.05,2260.66,2333.225,2707.896,3738.161,3691.37,3818.769,4261.644,3026.717,3880.859,4099.228,4221.923,4384.471,4020.272,4237.961,3082.899,3617.23,4684.698,6015.665,7350.887,7961.078,9640.571,10778.131,8941.404,10533.45,11221.402,11637.915,12488.968,12079.287,10973.586,10891.19,10628.898,9507.996,9145.769,8610.029,9406.575,9863.961,10922.674,12110.437,13445.835,14906.395
Turkmenistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,409.7,2288.146,1888.785,2388.869,949.573,1053.191,1109.02,1476.502,1900.259,2594.454,3221.222,4186.324,5147.982,6160.906,7588.66,9101.867,7452.444,6915.08,6855.9,8726.748,9824.927,9899.533,10591.664,7575.883,6823.713,7248.37,7064.883,7899.961,7673.596,8843.868,9939.11,10880.197,11943.241,13139.02,14482.33
Tuvalu,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1741.529,2075.674,2385.564,2348.707,2464.219,2865.977,3186.846,2759.034,3133.042,3777.342,3609.113,3615.373,3583.652,3396.69,3798.272,4255.25,4507.665,5052.111,5105.926,6004.1,6455.941,6965.409,7468.556,7982.842,8497.585
Uganda,664.574,1044.13,703.042,779.82,581.032,514.181,494.509,768.935,767.651,599.952,472.193,238.48,216.036,247.107,346.255,401.893,401.413,423.918,402.455,370.515,355.466,347.812,361.953,361.772,430.758,483.032,527.739,634.361,784.496,815.808,808.713,872.039,950.56,964.833,960.698,773.276,809.568,833.42,881.5,954.253,925.264,1018.436,1074.676,1097.512,1170.95,1282.489,1402.668
Ukraine,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,427.863,677.261,740.97,752.339,914.348,1037.893,874.265,664.99,664.376,784.864,885.315,1055.946,1374.753,1839.515,2319.286,3101.388,3944.724,2557.279,2982.814,3589.632,3872.534,3968.854,3053.608,2124.33,2200.002,2655.661,3118.268,3690.071,3741.06,4384.237,4958.312,5439.549,5957.961,6553.716,7185.05
United Arab Emirates,40014.582,40910.917,35767.654,31690.067,29017.094,27035.998,20533.019,21644.071,18435.195,20478.526,26621.511,25847.406,25960.965,25654.369,25762.53,26394.423,29058.859,29523.485,25897.653,27321.043,34688.979,32621.292,32790.711,35017.312,39304.507,43984.093,44313.551,41472.246,39074.713,30920.425,35065.935,41775.701,43932.903,45040.067,45817.068,40064.448,39144.669,41443.891,45075.57,43900.15,38661.176,43537.689,44752.862,45670.153,46748.556,48008.214,49445.497
United Kingdom,10722.219,10427.132,9925.572,9455.138,8944.86,9494.257,11556.813,14312.475,17386.502,17650.676,20854.865,21725.34,22385.424,19997.185,21425.4,23125.857,24359.369,26726.497,28247.544,28672.042,28212.729,27727.892,30032.213,34421.364,40252.449,41971.804,44549.727,50467.113,47753.722,38885.076,39579.618,42044.616,42453.471,43444.632,47480.801,45053.488,41177.828,40349.865,43063.738,42416.598,40394.127,46200.258,50879.451,52730.907,55160.082,57857.396,60613.925
United States,12552.943,13948.701,14404.994,15513.679,17086.441,18199.32,19034.766,20000.968,21375.999,22814.077,23847.977,24302.776,25392.931,26364.192,27674.021,28671.48,29946.973,31440.087,32833.666,34496.241,36312.782,37101.453,37945.761,39405.354,41641.617,44034.256,46216.853,47943.353,48470.553,47102.428,48586.288,50008.108,51736.738,53245.516,55083.507,56729.681,57839.992,59885.714,62769.664,65051.88,63358.489,69375.375,74725.001,77881.313,80714.781,83563.823,86428.68
Uruguay,4139.894,4588.983,3727.408,2032.97,1920.896,1865.107,2302.543,2864.701,2946.361,3088.005,3573.099,4281.106,4890.509,5663.12,6534.597,7171.511,7577.012,7925.923,8329.081,7814.547,7405.972,6776.82,4425.116,3926.713,4456.8,5637.982,6347.279,7587.881,9808.916,10181.702,12883.878,15267.777,16253.468,18167.344,18003.214,16692.648,16446.227,18388.305,18472.857,17601.265,16023.35,16965.081,17930.509,18466.467,19170.47,19954.912,20711.255
Uzbekistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,209.573,315.613,366.873,561.752,754.528,772.325,773.322,868.991,702.209,587.633,481.995,499.329,585.221,689.391,811.157,1048.715,1324.54,1523.417,1777.487,2067.524,2284.525,2440.258,2651.384,2761.29,2712.808,1899.657,1611.233,1801.428,1767.493,1901.492,2078.944,2277.037,2501.742,2740.844,3002.189
Vanuatu,1053.849,956.137,930.89,931.689,1111.403,976.747,918.675,989.126,1092.048,1054.904,1141.043,1333.385,1357.696,1277.011,1422.849,1479.565,1511.705,1537.62,1441.112,1435.664,1422.228,1317.091,1313.463,1542.059,1743.287,1824.505,1985.357,2308.554,2540.715,2519.625,2719.254,3007.564,2934.853,2940.193,2947.953,2771.657,2844.132,3158.835,3256.321,3147.047,3090.469,3235.205,3355.574,3486.329,3607.644,3699.817,3793.283
Venezuela,4671.078,5085.58,5041.589,4883.234,3447.45,3472.186,3488.564,2619.24,3292.792,2378.158,2492.939,2685.293,2968.496,2876.077,2741.979,3559.77,3174.631,3778.537,3970.433,4133.37,4820.646,4963.916,3778.255,3266.095,4311.999,5421.656,6646.803,8538.102,11079.069,9557.55,11158.18,12180.028,11993.39,8695.044,6747.666,10568.1,9092.02,4725.05,3404.428,2299.308,1690.659,1627.353,1617.763,no data,no data,no data,no data
Vietnam,652.593,318.521,414.347,612.565,1044.409,318.956,705.99,856.91,464.581,123.364,121.715,141.111,178.973,234.983,285.953,358.661,419.063,449.338,448.119,465.248,498.579,513.197,546.555,610.357,756.981,873.136,996.255,1152.267,1446.562,1481.442,1628.013,1949.826,2197.619,2369.973,2566.854,2581.907,2720.168,2957.899,3201.686,3398.214,3522.51,3742.858,4187.471,4605.445,5081.409,5601.402,6148.539
West Bank and Gaza,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1227.237,1322.057,1296.081,1350.947,1416.578,1441.889,1412.75,1275.685,1102.5,1197.161,1350.906,1461.093,1480.704,1563.701,1913.316,2061.558,2406.261,2711.917,2888.598,3122.985,3158.599,3084.132,3325.846,3407.307,3353.225,3442.754,3050.546,3320.853,3514.222,3648.08,3720.811,3778.575,3833.634
Yemen,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1046.183,1158.438,1351.436,1558.429,1919.182,840.832,411.266,418.526,374.911,439.292,539.641,532.421,560.031,597.771,682.148,797.704,881.648,971.326,1171.169,1060.926,1266.787,1302.302,1367.715,1515.946,1574.246,1500.671,1075.025,895.427,701.126,691.587,580.221,585.003,587.408,612.947,637.373,666.75,689.637
Zambia,718.795,718.743,672.013,562.441,448.532,412.851,276.151,332.268,543.316,561.832,509.752,446.778,424.949,405.587,405.544,410.542,378.71,440.701,352.627,330.283,340.164,356.323,376.468,429.01,530.54,691.554,1030.685,1103.688,1365.933,1135.008,1456.052,1635.168,1724.628,1839.334,1726.647,1310.458,1254.12,1500.962,1480.42,1272.238,1023.163,1115.272,1195.777,1186.787,1187.483,1212.436,1243.117
Zimbabwe,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1036.534,936.263,748.65,702.439,714.032,717.092,849.876,881.223,1029.202,1003.834,969.824,964.08,922.878,822.472,806.898,764.632,677.881,646.558,553.376,790.352,975.851,1131.836,1310.366,1421.548,1415.027,1425.014,1444.263,1526.712,1606.111,1314.09,1443.415,1664.758,1757.985,1731.923,1728.266,1769.629,1846.609
Africa (Region),no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1085.453,973.752,944.777,915.578,876.849,1020.369,1110.982,1127.066,1112.642,898.978,899.128,849.345,847.789,993.019,1158.162,1329.209,1494.491,1699.714,1917.562,1777.471,2031.708,2203.249,2284.511,2299.646,2316.032,2057.782,1908.999,1875.327,1950.066,1956.983,1847.243,2028.197,2150.591,2273.064,2392.895,2526.48,2687.694
Asia and Pacific,964.157,1011.383,965.096,1007.591,1049.951,1050.792,1312.607,1530.483,1794.336,1831.937,1876.819,2034.639,2148.468,2383.001,2540.817,2844.584,2735.137,2594.138,2284.629,2506.443,2650.842,2442.802,2466.147,2719.882,3034.509,3245.098,3436.439,3887.347,4348.737,4425.588,5117.482,5825.874,6125.015,6156.911,6318.263,6205.73,6396.293,6794.715,7225.207,7359.226,7306.528,8031.335,8620.894,9221.662,9809.058,10413.442,11032.506
Australia and New Zealand,10337.943,11644.647,11385.154,10802.834,11601.2,10269.083,10743.796,12675.306,15787.756,17328.479,17942.182,17591.686,17022.427,16604.501,18845.726,20205.893,22327.664,22179.245,19422.129,20650.088,19705.555,18469.222,20650.926,26076.485,31419.457,34657.513,35910.451,42894.043,46269.543,42822.36,52672.296,62457.531,63804.844,61474.628,58860.832,49341.777,49891.542,53705.036,54240.605,52474.643,50965.242,60248.835,62694.772,65491.673,67930.967,70320.111,72744.378
Caribbean,1531.946,1642.939,1795.495,1764.312,1745.446,1756.782,1645.574,1523.205,1518.21,1600.968,1719.474,1687.118,1644.063,1670.749,1869.244,2237.921,2383.042,2538.421,2690.649,2827.524,2932.428,2921.153,2994.976,3059.525,3352.594,3749.746,4041.926,4518.224,5039.838,4377.144,4636.025,4965.937,5086.111,5173.718,5193.965,5037.59,4737.711,4856.087,5075.283,4988.766,4359.939,4839.567,5124.666,5425.788,5598.036,5768.162,5942.374
Central America,1282.578,1250.976,1226.478,1251.23,1438.675,1205.307,1086.235,1128.263,1107.769,1206.204,1118.35,1279.435,1430.993,1547.189,1583.17,1724.277,1805.45,1929.173,2047.56,2034.55,2121.671,2195.145,2272.449,2186.33,2296.947,2706.237,2918.026,3268.356,3622.263,3563.813,3904.817,4308.305,4575.937,4781.631,5026.094,5305.554,5520.376,5761.787,5900.948,6023.044,5470.979,5875.007,6190.648,6475.466,6793.99,7129.663,7489.703
Central Asia and the Caucasus,2133.685,2113.068,1876.637,1753.332,1668.464,1835.181,1983.05,2260.66,2333.225,2707.896,3738.161,no data,1912.123,2239.922,1671.168,2183.731,2340.707,2431.178,2524.735,2337.211,2453.838,no data,1989.69,2522.755,3224.008,3960.899,4483.915,5513.455,6275.417,5341.333,6291.283,6995.768,7326.672,7851.322,7621.96,6698.268,6276.655,6214.87,5750.263,5663.21,5305.825,5824.033,6109.134,6652.218,7246.399,7897.722,8609.003
East Asia,1345.555,1427.812,1337.44,1438.817,1507.113,1556.794,2105.059,2508.344,3020.931,3067.105,3081.91,3456.865,3773.706,4274.165,4590.942,5149.134,4804.155,4519.799,4104.15,4577.029,4925.796,4537.582,4527.01,4907.668,5407.847,5683.567,5903.895,6489.531,7397.996,7726.821,8779.033,10077.523,10736.948,10775.243,11174.207,11209.324,11595.272,12256.811,13343.899,13632.077,13882.804,15315.425,16545.665,17781.625,18987.59,20225.096,21490.659
Eastern Europe ,1996.603,2103.666,2258.094,2265.029,2160.768,2138.522,2207.307,2239.811,2614.094,no data,no data,no data,976.645,1454.501,1903.817,2356.177,2699.366,2782.533,2433.1,2102.478,2295.273,2613.678,2971.323,3641.413,4656.512,5727.175,6968.649,9030.974,11316.28,8860.714,10040.341,11894.128,12075.047,12666.735,11922.08,8989.46,8842.052,10331.369,11284.033,11594.55,10884.31,12232.017,13098.901,13903.713,14727.645,15596.588,16486.165
Europe,8994.354,8056.11,7778.157,7559.819,7250.323,7483.892,10060.515,12328.346,13752.907,no data,no data,no data,13261.866,12174.294,13069.044,14812.378,15158.915,14246.149,14491.438,14353.484,13486.04,13717.945,14998.154,18196.944,21108.93,22323.405,24101.803,28046.027,30742.703,26956.465,27360.55,30069.306,28738.15,29904.044,30327.424,25991.815,25948.993,27538.635,29683.978,29249.5,28200.714,31651.371,34003.642,35677.71,37361.758,39091.73,40831.944
Middle East (Region),5678.119,5915.318,5437.389,5381.417,5199.851,4902.86,4812.14,5690.19,5715.238,6278.09,7894.064,5342.689,3357.47,3467.769,3691.237,4051.753,4561.023,4787.447,4629.115,5263.096,6375.475,5858.162,4587.102,4412.9,5181.841,6151.837,7043.506,8127.896,9860.125,8497.59,9825.236,12694.591,12338.914,12583.664,12600.414,10712.269,10505.565,11097.865,11933.671,12319.879,11876.495,14120.474,14671.512,15036.096,15445.197,15879.563,16359.752
North Africa,1548.108,1443.547,1455.732,1484.135,1496.108,1612.772,1624.691,1831.649,1882.168,2070.635,2054.792,1519.738,1512.939,1479.561,1445.951,1562.167,1701.619,1718.21,1738.584,1808.502,1874.825,1805.12,1636.85,1788.268,1986.082,2269.97,2551.317,2961.672,3512.209,3257.989,3653.374,3765.752,4178.231,4049.032,3960.51,3650.708,3564.118,3089.565,3238.657,3423.521,3426.167,3725.876,3944.408,4134.751,4310.021,4498.674,4704.775
North America,10457.893,11686.633,11731.442,12418.412,13601.14,14385.174,14755.961,15564.767,16773.882,17980.238,18830.47,19291.838,20088.555,20918.945,21835.939,22106.304,23123.812,24384.272,25313.179,26696.554,28313.075,28914.37,29516.171,30665.7,32548.608,34659.111,36611.408,38198.393,38767.908,36889.969,38646.642,40133.999,41297.208,42387.388,43507.773,43698.887,44099.57,45778.977,47865.412,49386.072,47553.792,52596.377,56521.538,58856.223,60949.403,63049.077,65167.298
Pacific Islands ,1419.934,1376.584,1284.586,1234.393,1163.722,1062.692,1135.812,1200.114,1487.042,1420.634,1322.052,1471.118,1580.219,1723.997,1868.556,1713.115,1788.622,1693.218,1306.413,1253.894,1191.707,1065.932,1047.286,1266.356,1431.633,1606.849,1736.593,1923.614,2197.028,2055.849,2340.773,2776.849,3048.968,3019.713,3195.852,2966.177,2850.001,3050.392,3160.784,3162.5,2866.83,3121.219,3280.115,3436.167,3576.188,3715.689,3849.386
South America,2454.906,2409.834,1997.152,1832.996,1759.015,1903.537,2106.896,2192.565,2396.906,2577.066,2790.858,2812.823,2956.017,3137.888,3672.999,4519.811,4742.996,4965.898,4829.918,3839.565,3995.825,3621.323,2812.452,2991.551,3571.754,4507.706,5417.765,6661.225,8001.152,7625.28,9667.223,11282.137,11139.242,11030.054,10606.849,9076.546,8669.435,9343.862,8691.105,8199.298,6627.307,7524.973,8057.525,8471.886,8948.326,9384.911,9818.428
South Asia,281.326,289.12,292.416,302.21,295.631,312.657,322.82,349.742,366.014,364.068,382.586,337.849,350.658,340.312,377.726,411.394,436.124,448.461,446.073,464.764,467.122,469.669,484.926,555.465,633.828,714.084,797.688,994.254,995.304,1076.92,1298.181,1389.928,1386.023,1405.02,1521.305,1571.455,1684.559,1907.068,1934.661,2001.464,1866.098,2041.968,2220.356,2381.027,2545.601,2722.085,2905.079
Southeast Asia,777.13,767.428,799.2,803.287,893.463,746.603,757.633,801.95,819.039,852.681,947.247,1044.602,1167.017,1286.255,1444.962,1653.215,1803.729,1683.873,1025.959,1187.582,1250.819,1190.156,1309.912,1455.175,1624.025,1787.153,2112.939,2490.697,2862.445,2794.715,3415.369,3922.222,4113.786,4201.594,4186.104,4018.368,4164.532,4445.523,4714.236,4937.879,4650.195,4979.69,5328.137,5702.572,6073.402,6459.165,6863.891
Sub-Saharan Africa (Region) ,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,862.794,849.306,816.874,789.081,750.151,900.141,980.931,997.738,976.783,703.189,691.621,647.967,683.128,829.098,989.222,1139.008,1282.752,1449.444,1603.522,1487.976,1716.96,1903.034,1922.939,1967.705,2005.821,1758.972,1600.637,1648.097,1710.974,1687.346,1559.469,1721.086,1828.919,1942.178,2055.281,2182.234,2338.784
Western Europe,10530.919,9366.809,8998.818,8738.459,8388.27,8682.904,11826.117,14600.595,16257.865,16471.805,20306.754,21471.6,23245.568,21034.548,22246.604,25444.161,25858.152,24263.59,24972.938,24933.5,23084.801,23159.771,25112.785,30319.894,34690.332,35882.388,37980.298,43324.56,46216.891,41287.104,40993.325,44286.325,41718.832,43285.845,44554.638,39067.487,39034.547,40635.744,43611.032,42545.487,41173.726,46141.079,49534.537,51784.931,54031.96,56322.438,58610.917
Western Hemisphere (Region),6721.311,7346.03,7185.956,7466.387,8050.267,8496.919,8745.883,9183.209,9877.962,10567.475,11047.544,11286.28,11750.1,12245.633,12865.049,13350.406,13927.338,14655.993,15061.745,15331.935,16198.12,16325.419,16274.604,16907.338,18092.262,19561.846,20931.207,22273.848,23145.74,22017.049,23765.313,25202.424,25723.295,26216.22,26592.035,26029.7,26047.76,27170.352,27938.483,28455.895,26784.548,29663.776,31831.105,33152.706,34372.602,35570.324,36772.878
ASEAN-5,746.161,732.669,761.511,757.469,843.358,683.404,720.252,761.285,769.155,791.254,869.41,952.595,1063.504,1169.998,1306.291,1490.156,1631.719,1502.518,951.265,1133.975,1182.511,1131.453,1265.557,1416.73,1568.01,1722.735,2047.12,2405.362,2786.575,2709.083,3316.418,3782.601,3964.764,4042.275,4011.564,3843.717,4000.516,4276.492,4515.967,4773.07,4494.46,4828.211,5202.458,5590.636,5972.483,6371.042,6789.651
Advanced economies,10308.348,10389.773,10247.89,10599.043,11024.703,11540.67,14017.797,16206.996,18193.308,18846.182,20975.03,22203.566,23573.552,23393.927,24937.624,27026.145,27042.542,26354.975,26292.006,27524.215,27819.085,27354.028,28357.462,31614.428,34857.865,36443.483,38085.791,41326.997,43340.671,40659.697,42251.352,45124.053,44756.241,44953.535,45773.754,43091.564,44018.651,45712.835,48185.654,48470.657,47161.286,52111.461,55863.323,58514.462,60929.152,63338.053,65738.48
Emerging and Developing Asia,360.356,350.483,350.974,364.296,375.705,358.171,359.979,386.375,423.495,443.047,438.105,433.989,483.656,538.649,553.557,652.262,727.869,745.201,670.103,726.304,770.297,802.791,869.022,979.61,1123.979,1284.447,1507.036,1890.783,2251.712,2422.782,2892.412,3420.798,3733.634,4047.456,4330.361,4464.893,4547.602,4958.556,5423.978,5620.853,5639.122,6282.915,6829.375,7348.329,7885.143,8445.701,9026.329
Emerging and Developing Europe,2046.065,2107.094,2117.571,2074.814,1975.882,2023.458,2121.416,2247.872,2504.385,no data,no data,no data,1382.649,1856.605,2038.025,2449.399,2764.608,2869.246,2561.084,2214.542,2438.677,2499.485,2844.626,3516.045,4539.265,5637.684,6726.089,8612.783,10579.717,8276.154,9615.283,11222.938,11543.185,12179.179,11443.02,8865.666,8690.104,9789.125,10195.593,10363.983,9667.896,10795.285,11480.185,12259.435,13090.544,13993.341,14952.991
Emerging market and developing economies,889.88,909.412,840.586,811.327,797.285,787.848,791.582,857.068,921.613,986.383,1281.381,1154.771,949.147,1057.373,1123.399,1270.896,1396.735,1459.38,1372.224,1308.784,1413.004,1397.184,1368.297,1517.595,1781.007,2101.438,2452.938,2983.66,3527.973,3326.807,3946.674,4603.605,4791.592,5021.241,5110.54,4772.484,4709.143,5070.544,5356.364,5447.83,5216.943,5845.095,6269.895,6667.393,7079.035,7507.2,7953.85
Euro area,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,19644.739,21571.562,19512.712,20545.514,24189.976,24496.666,21937.912,22295.847,22286.31,20254.483,20483.685,22247.872,27247.318,31065.636,32032.532,33869.775,38843.909,42463.618,38615.841,37716.819,40750.375,37710.041,39257.772,39998.762,34477.772,35220.506,37211.051,40165.985,39262.728,37967.976,42346.782,45390.837,47569.47,49637.604,51704.669,53720.935
European Union,8541.282,7506.955,7253.268,7072.856,6795.831,6979.735,9565.054,11698.716,12873.505,13056.678,15988.049,16966.151,18239.443,16337.107,17290.057,19544.827,19842.06,18198.497,18740.12,18619.762,17054.264,17299.038,18856.04,23106.054,26464.178,27522.482,29277.348,33810.886,37287.583,33683.46,33232.746,35904.191,33313.946,34762.091,35518.706,30682.842,31384.746,33299.341,36009.123,35273.696,34305.159,38337.875,41143.206,43299.403,45328.798,47388.582,49410.342
Latin America and the Caribbean,2521.499,2661.344,2132.842,1898.268,1933.351,2037.717,1981.317,2068.564,2291.286,2523.608,2761.83,2910.34,3132.52,3470.462,3868.085,4089.429,4350.387,4690.526,4649.513,4106.288,4421.196,4246.136,3710.169,3725.292,4221.895,5067.817,5874.761,6883.763,7918.837,7236.728,8915.215,10241.339,10177.843,10220.42,9996.834,8719.254,8279.918,8871.245,8531.273,8263.267,6805.655,7777.034,8288.912,8700.182,9146.332,9566.813,9989.099
Major advanced economies (G7),11275.329,11549.69,11432.416,12000.847,12568.193,13250.386,15952.805,18237.184,20385.21,21012.478,23035.781,24464.029,26065.186,26388.503,28020.513,30362.605,30121.382,29544.756,29760.475,31188.166,31734.235,31171.002,31949.275,35067.619,38292.443,39733.664,41212.058,44011.509,45864.816,43458.745,44913.925,47515.213,47528.141,47327.901,48230.694,46059.622,47105.655,48514.189,51015.438,51768.286,50280.09,55163.546,59353.273,62087.086,64526.591,66965.062,69396.508
Middle East and Central Asia,2185.05,2227.902,2102.186,2088.863,2068.163,2027.242,2001.242,2328.87,2342.234,2601.417,3150.321,2176.727,1336.668,1400.94,1453.919,1615.102,1799.565,1869.52,1834.381,2017.354,2328.233,2184.103,1763.165,1908.588,2256.042,2701.712,3159.066,3702.519,4429.859,3893.866,4473.721,5378.957,5320.004,5379.637,5368.44,4668.426,4478.47,4517.402,4769.637,4868.694,4667.765,5420.904,5648.807,5832.833,6027.017,6238.202,6468.153
Other advanced economies,6877.848,6920.637,6780.744,6686.9,6937.737,6852.915,8281.336,10092.696,11769.17,12668.275,14431.067,15140.791,15976.055,15604.387,17332.937,18751.097,19794.273,19014.129,17021.704,18103.324,18530.132,17790.341,19229.609,22028.172,25022.736,27432.656,29479.195,33433.409,34964.912,31860.38,36419.445,41271.518,41264.949,42354.494,42812.495,39097.89,39577.043,42272.682,44194.861,43099.806,42493.991,48199.256,50714.514,53292.402,55781.095,58195.466,60670.939
Sub-Saharan Africa,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,905.431,890.268,854.549,821.818,779.356,934.259,1016.876,1031.733,1008.798,720.382,704.903,655.336,689.341,839.012,1000.734,1146.801,1284.023,1441.954,1598.366,1492.144,1720.838,1897.276,1944.25,1987.831,2021.77,1761.765,1597.486,1666.414,1747.679,1723.276,1589.323,1757.113,1869.084,1985.93,2101.955,2232.328,2393.522
World,2865.992,2878.115,2771.834,2797.84,2848.772,2919.033,3377.208,3822.335,4221.647,4362.945,4764.05,4848.92,4800.394,4853.464,5130.247,5625.286,5693.457,5593.301,5448.196,5565.791,5669.619,5555.411,5652.339,6243.26,6941.608,7427.194,7946.081,8861.531,9594.124,8980.39,9708.667,10676.285,10724.792,10905.853,11059.268,10342.774,10386.65,10898.421,11457.522,11534.665,11107.768,12293.133,13131.439,13789.416,14423.446,15067.805,15723.34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"©IMF, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
