 ,ISO3 Alpha-code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Faroe Islands,FRO,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,56.15873016,55.98941799,56.38095238,57.71428571,59.15873016,60.78306878,63.02645503,64.14814815,64.41269841,66.67195767,67.98412698,69.76719577,72.06878307,74.78835979,78.13756614,80.51851852,82.3968254,83.65608466,84.77248677,85.79365079,86.07936508,86.64021164,87.17460317,87.32804233,87.1957672,87.11640212,87.37566138,87.16931217,87.38095238,87.67724868,85.14814815,83.85714286,83.85714286
Fiji,FJI,88,88,88,88,88,88,88,88,88,88,88,88,88,88,60,82,90,98,98,98,98,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Finland,FIN,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,56.15873016,55.98941799,56.38095238,57.71428571,59.15873016,60.78306878,63.02645503,64.14814815,64.41269841,66.67195767,67.98412698,69.76719577,72.06878307,74.78835979,78.13756614,80.51851852,82.3968254,83.65608466,84.77248677,85.79365079,86.07936508,86.64021164,87.17460317,87.32804233,87.1957672,87.11640212,87.37566138,87.16931217,87.38095238,87.67724868,85.14814815,83.85714286,83.85714286
France,FRA,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,24,26,28,29,28,35,35,39,42,47,51,64,74,78,82,83,88,90,90,91,91,91,91,91
French Polynesia,PYF,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,56.15873016,55.98941799,56.38095238,57.71428571,59.15873016,60.78306878,63.02645503,64.14814815,64.41269841,66.67195767,67.98412698,69.76719577,72.06878307,74.78835979,78.13756614,80.51851852,82.3968254,83.65608466,84.77248677,85.79365079,86.07936508,86.64021164,87.17460317,87.32804233,87.1957672,87.11640212,87.37566138,87.16931217,87.38095238,87.67724868,85.14814815,83.85714286,83.85714286
Gabon,GAB,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,52,75,82,79,67,75,82,79,70,80,75,75,70,70,63,75,75
"Gambia, The",GMB,78,78,78,78,78,78,78,78,78,78,78,78,67,56,57,87,88,94,92,93,91,91,92,94,95,95,95,97,98,97,97,96,98,97,96,97,95,92,93,88,86,82,82
Georgia,GEO,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,61,51,48,64,79,84,94,89,54,95,89,92,96,91,94,92,91,93,94,88,85,85
Germany,DEU,15,15,15,15,15,15,15,15,15,15,15,15,15,15,32,45,57,71,81,81,84,86,87,90,88,90,87,86,87,88,88,87,87,87,87,87,88,88,88,88,88,87,87
Ghana,GHA,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,84,84,94,93,94,94,91,92,90,98,88,93,99,97,97,94,98,98
