 ,ISO3 Alpha-code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Czechia,CZE,11.3,11.32,11.34,11.36,11.38,11.4,11.38,11.36,11.34,11.32,11.3,11.1,10.7,10.4,10.2,9.8,9.4,9,8.6,8.2,7.8,7.8,7.8,7.7,7.7,7.6,7.5,7.3,7.2,7.1,7.3,7.1,6.9,6.7,6.7,6.7,6.7,6.6,6.6,6.6,6.6,6.6,6.6
Denmark,DNK,8.1,7.8,7.7,7.4,7.1,7,6.9,6.2,6,5.8,5.6,5.4,5.1,5,5,4.9,4.7,4.6,4.5,4.3,4.3,4.2,4.3,4.1,4,3.9,3.8,3.7,3.6,3.5,3.5,3.1,3.1,3.1,2.7,2.5,2.6,2.6,2.4,2.6,2.6,2.6,2.6
Djibouti,DJI,3.6,3.6,3.477777778,3.355555556,3.233333333,3.111111111,2.988888889,2.866666667,2.744444444,2.622222222,2.5,2.43,2.36,2.29,2.22,2.15,2.08,2.01,1.94,1.87,1.8,1.8,1.8,1.6,1.6,1.6,1.6,1.55,1.5,1.45,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
Dominica,DMA,3,3,3,3,3,3,3,3,3,3,3,2.866666667,2.733333333,2.6,3.1,3.6,2.7,2.975,3.25,3.525,3.8,3.5,3.9,3.9,3.9,3.9,3.95,4,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8
Dominican Republic,DOM,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.933333333,1.966666667,2,1.833333333,1.666666667,1.5,1.585714286,1.671428571,1.757142857,1.842857143,1.928571429,2.014285714,2.1,2.05,2,1.6,1.2,1.6,1.4,1.6,1.7,1.7,1.8,1.8,1.6,1.4,1.6,1.6,1.6,1.6,1.6,1.6
Ecuador,ECU,1.9,1.87,1.84,1.81,1.78,1.75,1.72,1.69,1.66,1.63,1.6,1.6,1.6,1.6,1.566666667,1.533333333,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.7,1.65,1.6,1.55,1.5,1.5,1.6,1.6,1.6,1.5,1.5,1.6,1.6,1.4,1.4,1.4,1.4,1.4,1.4,1.4
"Egypt, Arab Rep.",EGY,2,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2,2.1,2,2,1.9,1.966666667,2.033333333,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.2,2.2,2.2,2.2,2.1,2.1,1.7,1.7,1.675,1.65,1.625,1.6,1.6,1.4,1.4,1.4,1.4,1.4,1.4,1.4
El Salvador,SLV,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.533333333,1.566666667,1.6,1.522222222,1.444444444,1.366666667,1.288888889,1.211111111,1.133333333,1.055555556,0.977777778,0.9,0.9,0.7,0.8,1.1,1,1,1.1,1.1,1.4,1,1.1,1.2,1.2,1.2,1.2,1.2,1.2
Equatorial Guinea,GNQ,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.669230769,2.538461538,2.407692308,2.276923077,2.146153846,2.015384615,1.884615385,1.753846154,1.623076923,1.492307692,1.361538462,1.230769231,1.1,1.375,1.65,1.925,2.2,2.125,2.05,1.975,1.9,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1
Eritrea,ERI,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1,0.9,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
Estonia,EST,12.2,12.22,12.24,12.26,12.28,12.3,12.3,12.1,12,11.9,11.6,11.3,9.7,9.6,8.6,8.4,7.9,7.7,7.6,7.5,7,6.6,6,5.7,5.6,5.4,5.6,5.5,5.6,5.4,5.3,5.4,5.5,5,5,5,4.8,4.7,4.6,4.6,4.6,4.6,4.6
Eswatini,SWZ,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1
Ethiopia,ETH,0.3,0.29,0.28,0.27,0.26,0.25,0.24,0.23,0.22,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,2.233333333,4.266666667,6.3,4.8,3.3,1.8,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Faroe Islands,FRO,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,3.825,3.55,3.275,3,3,3,3
Fiji,FJI,2.8,2.7,2.694444444,2.688888889,2.683333333,2.677777778,2.672222222,2.666666667,2.661111111,2.655555556,2.65,2.644444444,2.638888889,2.633333333,2.627777778,2.622222222,2.616666667,2.611111111,2.605555556,2.6,2.5,2.4,2.3,2.2,2.1,2.1,2.1,2.1,2.1,2.1,2.15,2.2,2.2,2.2,1.9,1.9,2,2,2,2,2,2,2
Finland,FIN,15.6,15.28,14.96,14.64,14.32,14,13.7,13.4,13.1,12.8,12.5,11.2,11,10,10,9.3,9.2,7.9,7.8,7.6,7.5,7.5,7.4,7.2,7.1,7.1,7,6.7,6.6,6.3,5.9,5.5,5.3,4.9,4.5,4.4,4,3.3,3.6,3.6,3.6,3.6,3.6
France,FRA,11.1,11.1,11,10.8,10.7,10.5,10.3,10.2,10.1,9.9,9.7,9.6,9.4,9.3,9.1,8.9,8.8,8.6,8.4,8.3,8,7.8,7.7,7.6,7.4,7.2,7.1,7.1,6.9,6.7,6.4,6.4,6.3,6.3,6.2,6.1,6.1,6,5.9,5.9,5.9,5.9,5.9
French Polynesia,PYF,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1
Gabon,GAB,1.6,1.6,1.6,1.6,1.6,1.6,1.92,2.24,2.56,2.88,3.2,3.125,3.05,2.975,2.9,2.825,2.75,2.675,2.6,2.525,2.45,2.375,2.3,2.225,2.15,2.075,2,1.65,1.3,3.8,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
